_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,y,z,p,item_id,question,answers
{},"{""y"": false, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",1,2025-08-20 00:44:46,False,,,KnowledgeTrial,11,11,True,11,2,3,optimal_treatment,"{""item_id"": 10, ""question"": ""When did Franklin D. Roosevelt die?"", ""answers"": [""may 1945"", ""april 12.1945"", ""1945"", ""ad 1945"", ""1945 ad"", ""apr 19445"", ""12th april, 1945"", ""april, 1945"", ""april 12, 1945."", ""12 april 1945"", ""april 12, 1945"", ""franklin d. roosevelt, the 32nd president of the united states, died on april 12, 1945."", ""in 1945""]}",True,False,0.0,0.0,,,True,9.0,,,6.536,55.0,80.0,25.0,0.09909909909909911,0.14414414414414417,False,False,False,False,0,default,KnowledgeTrial,Info,False,1.0,"{""0"": 0.5, ""1"": 0.5}",10,When did Franklin D. Roosevelt die?,"[""may 1945"", ""april 12.1945"", ""1945"", ""ad 1945"", ""1945 ad"", ""apr 19445"", ""12th april, 1945"", ""april, 1945"", ""april 12, 1945."", ""12 april 1945"", ""april 12, 1945"", ""franklin d. roosevelt, the 32nd president of the united states, died on april 12, 1945."", ""in 1945""]"
{},"{""y"": true, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",2,2025-08-20 00:44:57,False,,,KnowledgeTrial,12,12,True,12,2,3,optimal_treatment,"{""item_id"": 11, ""question"": ""Which was the first state to announce its secession from the Union before the Civil War began?"", ""answers"": [""south carolina"", ""s carolina"", ""s. carolina"", ""south caroline"", ""sc""]}",True,False,1.0,0.0,,South Carolina,True,12.0,,,11.126999999999999,80.0,105.0,25.0,0.14414414414414417,0.1891891891891892,False,False,False,False,0,default,KnowledgeTrial,Info,True,1.0,"{""0"": 0.5, ""1"": 0.5}",11,Which was the first state to announce its secession from the Union before the Civil War began?,"[""south carolina"", ""s carolina"", ""s. carolina"", ""south caroline"", ""sc""]"
{},"{""y"": true, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",3,2025-08-20 00:44:57,False,,,KnowledgeTrial,8,8,True,8,1,4,optimal_treatment,"{""item_id"": 7, ""question"": ""Who was the first President to live in the White House?"", ""answers"": [""adams"", ""joh adams"", ""john adams"", ""john adams?"", ""john quincy adams"", ""the first president to live in the white house was john adams."", ""john q. adams"", ""president john adams""]}",True,False,1.0,0.0,,John Adams,True,15.0,,,19.326999999999998,55.0,80.0,25.0,0.09909909909909911,0.14414414414414417,False,False,False,False,0,default,KnowledgeTrial,Info,True,1.0,"{""0"": 0.5, ""1"": 0.5}",7,Who was the first President to live in the White House?,"[""adams"", ""joh adams"", ""john adams"", ""john adams?"", ""john quincy adams"", ""the first president to live in the white house was john adams."", ""john q. adams"", ""president john adams""]"
{},"{""y"": false, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",4,2025-08-20 00:45:12,False,,,KnowledgeTrial,2,2,True,2,2,3,optimal_treatment,"{""item_id"": 1, ""question"": ""What is the date of the United States Declaration of Independence?"", ""answers"": [""14th july ,1776"", ""4 july 1776"", ""1776, july 4th"", ""july 4 1776"", ""juky 4 1776"", ""7/4/1776"", ""july 4,1776"", ""july 4th, 1776"", ""6-4-1776"", ""07/04/1776"", ""july 4, 1976"", ""7/7/1776"", ""july, 4 1776"", ""in 1776"", ""4th july 1776"", ""1776 ad"", ""7/4/76"", ""04/06/1776"", ""1776 july 4"", ""july 4, 1776"", ""ad 1776"", ""1776"", ""7/04/1776"", ""july 4th 1776""]}",True,False,0.0,0.0,,1775,True,16.0,,,7.303,105.0,130.0,25.0,0.1891891891891892,0.23423423423423423,False,False,False,False,0,default,KnowledgeTrial,Info,False,1.0,"{""0"": 0.5, ""1"": 0.5}",1,What is the date of the United States Declaration of Independence?,"[""14th july ,1776"", ""4 july 1776"", ""1776, july 4th"", ""july 4 1776"", ""juky 4 1776"", ""7/4/1776"", ""july 4,1776"", ""july 4th, 1776"", ""6-4-1776"", ""07/04/1776"", ""july 4, 1976"", ""7/7/1776"", ""july, 4 1776"", ""in 1776"", ""4th july 1776"", ""1776 ad"", ""7/4/76"", ""04/06/1776"", ""1776 july 4"", ""july 4, 1776"", ""ad 1776"", ""1776"", ""7/04/1776"", ""july 4th 1776""]"
{},"{""y"": false, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",5,2025-08-20 00:45:19,False,,,KnowledgeTrial,13,13,True,13,1,4,optimal_treatment,"{""item_id"": 12, ""question"": ""When did prohibition start and end in the United States?"", ""answers"": [""1920 and 1933"", ""1920 - 1933"", ""1920-1933"", ""started on january 17th, 1920 and ended on december 5th, 1933"", ""1920 1933"", ""1920 to 1933"", ""january 17, 1920, and ended on december 5, 1933"", ""prohibition in the united states officially started on january 17, 1920, with the ratification of the 18th amendment to the united states constitution, which prohibited the manufacture, sale, and transportation of alcoholic beverages."", ""17 january 1920 - 5 december 1933"", ""1933-1920""]}",True,False,0.0,0.0,,,True,18.0,,,9.147,80.0,105.0,25.0,0.14414414414414417,0.1891891891891892,False,False,False,False,0,default,KnowledgeTrial,Info,False,1.0,"{""0"": 0.5, ""1"": 0.5}",12,When did prohibition start and end in the United States?,"[""1920 and 1933"", ""1920 - 1933"", ""1920-1933"", ""started on january 17th, 1920 and ended on december 5th, 1933"", ""1920 1933"", ""1920 to 1933"", ""january 17, 1920, and ended on december 5, 1933"", ""prohibition in the united states officially started on january 17, 1920, with the ratification of the 18th amendment to the united states constitution, which prohibited the manufacture, sale, and transportation of alcoholic beverages."", ""17 january 1920 - 5 december 1933"", ""1933-1920""]"
{},"{""y"": false, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",6,2025-08-20 00:45:22,False,,,KnowledgeTrial,13,13,True,13,2,3,optimal_treatment,"{""item_id"": 12, ""question"": ""When did prohibition start and end in the United States?"", ""answers"": [""1920 and 1933"", ""1920 - 1933"", ""1920-1933"", ""started on january 17th, 1920 and ended on december 5th, 1933"", ""1920 1933"", ""1920 to 1933"", ""january 17, 1920, and ended on december 5, 1933"", ""prohibition in the united states officially started on january 17, 1920, with the ratification of the 18th amendment to the united states constitution, which prohibited the manufacture, sale, and transportation of alcoholic beverages."", ""17 january 1920 - 5 december 1933"", ""1933-1920""]}",True,False,0.0,0.0,,1919 - 1921,True,20.0,,,15.280000000000001,130.0,155.0,25.0,0.23423423423423423,0.27927927927927926,False,False,False,False,0,default,KnowledgeTrial,Info,False,1.0,"{""0"": 0.5, ""1"": 0.5}",12,When did prohibition start and end in the United States?,"[""1920 and 1933"", ""1920 - 1933"", ""1920-1933"", ""started on january 17th, 1920 and ended on december 5th, 1933"", ""1920 1933"", ""1920 to 1933"", ""january 17, 1920, and ended on december 5, 1933"", ""prohibition in the united states officially started on january 17, 1920, with the ratification of the 18th amendment to the united states constitution, which prohibited the manufacture, sale, and transportation of alcoholic beverages."", ""17 january 1920 - 5 december 1933"", ""1933-1920""]"
{},"{""y"": false, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",7,2025-08-20 00:45:31,False,,,KnowledgeTrial,9,9,True,9,1,4,optimal_treatment,"{""item_id"": 8, ""question"": ""Where was the first Fourth of July Celebration with a firework display held?"", ""answers"": [""boston ma"", ""boston"", ""boston, massachusetts"", ""boston?"", ""boston, ma""]}",True,False,0.0,0.0,,Philadelphia city hall,True,25.0,,,34.918,105.0,130.0,25.0,0.1891891891891892,0.23423423423423423,False,False,False,False,0,default,KnowledgeTrial,Info,False,1.0,"{""0"": 0.5, ""1"": 0.5}",8,Where was the first Fourth of July Celebration with a firework display held?,"[""boston ma"", ""boston"", ""boston, massachusetts"", ""boston?"", ""boston, ma""]"
{},"{""y"": true, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",8,2025-08-20 00:45:41,False,,,KnowledgeTrial,3,3,True,3,2,3,optimal_treatment,"{""item_id"": 2, ""question"": ""What is the year of the beginning of the American Civil War?"", ""answers"": [""1860"", ""april 12th, 1861"", ""1861"", ""1861-1865"", ""1861 ad"", ""it began on april 12 1861"", ""the american civil war began in 1861. specifically, the first shots were fired at fort sumter, south carolina, on april 12, 1861, marking the beginning of the conflict."", ""ad 1861"", ""in 1861""]}",True,False,1.0,0.0,,1860,True,22.0,,,8.827,155.0,180.0,25.0,0.27927927927927926,0.3243243243243243,False,False,False,False,0,default,KnowledgeTrial,Info,True,1.0,"{""0"": 0.5, ""1"": 0.5}",2,What is the year of the beginning of the American Civil War?,"[""1860"", ""april 12th, 1861"", ""1861"", ""1861-1865"", ""1861 ad"", ""it began on april 12 1861"", ""the american civil war began in 1861. specifically, the first shots were fired at fort sumter, south carolina, on april 12, 1861, marking the beginning of the conflict."", ""ad 1861"", ""in 1861""]"
{},"{""y"": false, ""z"": null, ""p"": {""0"": 0.47278934717178345, ""1"": 0.5272106528282166}}",9,2025-08-20 00:45:57,False,,,KnowledgeTrial,26,26,True,26,2,5,optimal_test,"{""item_id"": 10, ""question"": ""What is the last planet of our solar system?"", ""answers"": [""neptune (since pluto is now a 'minor planet')"", ""neptume"", ""nepturn"", ""neptune""]}",True,False,0.0,0.0,,Uranus,True,26.0,,,8.504000000000001,180.0,205.0,25.0,0.32432432432432434,0.36936936936936937,False,False,False,False,0,default,KnowledgeTrial,Info,False,,"{""0"": 0.47278934717178345, ""1"": 0.5272106528282166}",10,What is the last planet of our solar system?,"[""neptune (since pluto is now a 'minor planet')"", ""neptume"", ""nepturn"", ""neptune""]"
{},"{""y"": false, ""z"": 1, ""p"": {""0"": 0.5, ""1"": 0.5}}",10,2025-08-20 00:46:09,False,,,KnowledgeTrial,15,15,True,15,1,4,optimal_treatment,"{""item_id"": 14, ""question"": ""What was called the first American Constitution?"", ""answers"": [""the article of confederation"", ""the articles of confederation"", ""confederation articles"", ""articles of confederate"", ""the artciles of confederation"", ""the articles of the confederation"", ""articles of conferation"", ""articles of the confederation"", ""article of confederation"", ""articles of confederation"", ""articles of confederations"", ""confederation"", ""articles of confederation.""]}",True,False,0.0,0.0,,bill of rights,True,30.0,,,12.059999999999999,130.0,155.0,25.0,0.23423423423423423,0.27927927927927926,False,False,False,False,0,default,KnowledgeTrial,Info,False,1.0,"{""0"": 0.5, ""1"": 0.5}",14,What was called the first American Constitution?,"[""the article of confederation"", ""the articles of confederation"", ""confederation articles"", ""articles of confederate"", ""the artciles of confederation"", ""the articles of the confederation"", ""articles of conferation"", ""articles of the confederation"", ""article of confederation"", ""articles of confederation"", ""articles of confederations"", ""confederation"", ""articles of confederation.""]"
