vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,aborted,complete,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,main_consent,age,formal_education,z,p_y
"{""main_consent"": true, ""age"": ""35"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": {""0"": 0.6516121029853821, ""1"": 0.3483878970146179}, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T00:51:00.088707"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T00:44:57.077203"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T00:50:57.113826"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T00:46:37.792595""}",1,2025-08-20 00:44:08,False,,,Participant,dd614f8620a93432f06739a8ac7530ef,prolific,68a51a2e62fb697865180738,664ec4ec38b0fba80d81b607:68a51a2e62fb697865180738,68a515a0c8c21db8f8d05b6b,live,2025-08-20 00:51:04,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",555.0,555.0,1.0,[],"[1.0, 1.0]",980a4cae-3bb0-3e2a-a331-55899ceaba1d,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,35,college,1.0,"{""0"": 0.6516121029853821, ""1"": 0.3483878970146179}"
"{""main_consent"": true, ""age"": ""55"", ""formal_education"": ""postgraduate_degree_or_higher"", ""z"": 1, ""p_y"": {""0"": 0.498149037361145, ""1"": 0.501850962638855}, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T00:49:32.168570"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T00:44:46.773778"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T00:49:28.782995"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T00:45:57.088121""}",2,2025-08-20 00:44:09,False,,,Participant,6a8d3769d1f6b5a6f62d2f6db5b0be46,prolific,68a51a389f3f1d3d17b60613,5edcfe625cd39c9efd5cc2ae:68a51a389f3f1d3d17b60613,68a515a0c8c21db8f8d05b6b,live,2025-08-20 00:49:37,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",555.0,555.0,1.0,[],"[1.0, 1.0]",02284fc8-353f-48cb-48a4-42f77ae77b7e,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,55,postgraduate_degree_or_higher,1.0,"{""0"": 0.498149037361145, ""1"": 0.501850962638855}"
"{""main_consent"": true, ""age"": ""28"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": {""0"": 0.08303898572921753, ""1"": 0.9169610142707825}, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T00:59:10.589239"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T00:53:20.937206"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T00:59:08.916902"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T00:54:12.878957""}",3,2025-08-20 00:52:51,False,,,Participant,7f9caff1dc5cf122bfd0d088395b1859,prolific,68a51c4064cd46e5e6889f66,5d27e4e24ea8d100170b3c61:68a51c4064cd46e5e6889f66,68a515a0c8c21db8f8d05b6b,live,2025-08-20 00:59:14,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",555.0,555.0,1.0,[],"[1.0, 1.0]",ddbe1a72-3c9c-6234-1a57-bfef7ae0824b,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 138.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,28,college,1.0,"{""0"": 0.08303898572921753, ""1"": 0.9169610142707825}"
"{""main_consent"": true, ""age"": ""69"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": null, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T01:07:33.315455"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:03:45.034495"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T01:07:29.558122"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:04:49.742490""}",4,2025-08-20 01:01:54,False,,,Participant,b1cd57160d6d90320a58305e9b47a608,prolific,68a51e3931dfc2ea9d8f7ab0,5be5c05fd153f500019a2ef2:68a51e3931dfc2ea9d8f7ab0,68a515a0c8c21db8f8d05b6b,live,2025-08-20 01:07:37,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",505.0,555.0,1.0,[],"[1.0, 1.0]",6bebd211-e780-15a9-c29c-2e77b81ca385,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,69,college,1.0,
"{""main_consent"": true, ""age"": ""50"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": {""0"": 0.2968660593032837, ""1"": 0.7031339406967163}, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T01:10:35.835356"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:05:17.528593"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T01:10:33.354905"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:06:32.836921""}",5,2025-08-20 01:04:35,False,,,Participant,6562298942cd0967c451ed209ce8841b,prolific,68a51f05e85cf529e623f691,5ddb41e0ed3649a9c1fc68e6:68a51f05e85cf529e623f691,68a515a0c8c21db8f8d05b6b,live,2025-08-20 01:10:38,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",555.0,555.0,1.0,[],"[1.0, 1.0]",55db9b1e-5bce-a3ef-41ef-be1d17ad5fd2,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,50,college,1.0,"{""0"": 0.2968660593032837, ""1"": 0.7031339406967163}"
"{""main_consent"": true, ""age"": ""22"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": null, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T01:37:23.966675"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:30:34.509995"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T01:37:20.082533"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:32:34.386022""}",6,2025-08-20 01:29:40,False,,,Participant,d6efba9f2f15754a8ff8f9018771952e,prolific,68a524ba9a8c81f2f989946d,67a8489f696f24bd3b3f9fb2:68a524ba9a8c81f2f989946d,68a515a0c8c21db8f8d05b6b,live,2025-08-20 01:37:29,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",530.0,555.0,1.0,[],"[1.0, 1.0]",94a0d632-abc4-8dde-57df-b9d1719e4e03,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 138.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,22,college,1.0,
"{""main_consent"": true, ""age"": ""45"", ""formal_education"": ""high_school"", ""z"": 0, ""p_y"": null, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T01:45:36.863606"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:41:11.230490"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T01:45:32.898609"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:42:45.871374""}",7,2025-08-20 01:40:44,False,,,Participant,b294cb6d0858c27d9e46576214685e30,prolific,68a5277713093af65052f3ea,65fb580ab7fbb2d518ee8eaa:68a5277713093af65052f3ea,68a515a0c8c21db8f8d05b6b,live,2025-08-20 01:45:42,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",455.0,555.0,1.0,[],"[1.0, 1.0]",7738ff09-3e36-09a9-8eb3-657c61d6c6f8,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,45,high_school,0.0,
"{""main_consent"": true, ""age"": ""31"", ""formal_education"": ""high_school"", ""z"": 0, ""p_y"": {""0"": 0.13475853204727173, ""1"": 0.8652414679527283}, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T01:50:31.705780"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:43:45.287631"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T01:50:30.422556"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:46:25.910139""}",8,2025-08-20 01:42:58,False,,,Participant,724ec015d8ceb41d778b2c7565b27236,prolific,68a5279761500c301d73ef87,66c8abe49537b182dcbd2049:68a5279761500c301d73ef87,68a515a0c8c21db8f8d05b6b,live,2025-08-20 01:50:34,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",555.0,555.0,1.0,[],"[1.0, 1.0]",aba13825-4c7b-66d1-b1c6-676a15563896,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,31,high_school,0.0,"{""0"": 0.13475853204727173, ""1"": 0.8652414679527283}"
"{""main_consent"": true, ""age"": ""43"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": null, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T01:59:59.159768"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:50:06.823600"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T01:59:55.868421"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T01:53:34.986504""}",9,2025-08-20 01:48:21,False,,,Participant,7f35f1fff22ade51c677f6d8544af25c,prolific,68a528e593fdc5bfbd699520,6628141ef03d907d9b2ff86d:68a528e593fdc5bfbd699520,68a515a0c8c21db8f8d05b6b,live,2025-08-20 02:00:03,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",480.0,555.0,1.0,[],"[1.0, 1.0]",9ba86933-902a-dd06-488c-58a667d9ac8b,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,43,college,1.0,
"{""main_consent"": true, ""age"": ""28"", ""formal_education"": ""college"", ""z"": 1, ""p_y"": null, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-08-20T02:09:21.686738"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T02:06:46.704925"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-08-20T02:09:18.648754"", ""__optimal_test__trial_loop__loop_start_time__loop_start_time"": ""2025-08-20T02:07:27.381260""}",10,2025-08-20 02:06:31,False,,,Participant,9510b39e56b073cb49cdef7b9dd23f1c,prolific,68a52d191aa2a1de483e3644,663e3c2870a87bac315ac450:68a52d191aa2a1de483e3644,68a515a0c8c21db8f8d05b6b,live,2025-08-20 02:09:23,1.5333333333333334,,"{""recruiter"": ""prolific""}",approved,"[338, 4, 1]","[342, 5, 2]",505.0,555.0,1.0,[],"[1.0, 1.0]",813c365b-f91c-e4bc-bb09-6bcbb98f4224,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],1.5333333333333334,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment"", ""optimal_test""]","[""main_consent"", ""optimal_treatment"", ""optimal_test""]",,True,28,college,1.0,
