vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,aborted,complete,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,main_consent,age,formal_education,z
"{""main_consent"": true, ""age"": ""43"", ""formal_education"": ""college"", ""z"": 1, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T19:54:06.309005"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T19:48:14.849072"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T19:54:04.922686""}",1,2025-09-03 19:47:56,False,,,Participant,1fa34bf705cd6432926d582221cb4887,prolific,68b89b6051cedfd06302fcf9,5ade0203066c510001d42abf:68b89b6051cedfd06302fcf9,68b896a73aaef02d84094293,live,2025-09-03 19:54:09,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",76cfe403-a0f3-26ea-c204-62db5f563b6b,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,43,college,1.0
"{""main_consent"": true, ""age"": ""36"", ""formal_education"": ""postgraduate_degree_or_higher"", ""z"": 1, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T20:08:35.954027"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T19:49:44.601065"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T20:08:32.806818""}",2,2025-09-03 19:48:35,False,,,Participant,17a6e670f072ce879bf895297a63bce6,prolific,68b89b6435fce2be49f39d70,670d816961bebcb45b53b929:68b89b6435fce2be49f39d70,68b896a73aaef02d84094293,live,2025-09-03 20:08:43,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",6369d3dc-15ce-d983-a779-761eb441777d,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,36,postgraduate_degree_or_higher,1.0
"{""main_consent"": true, ""age"": ""61"", ""formal_education"": ""high_school"", ""z"": 0, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T19:57:02.209160"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T19:50:15.035481"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T19:56:59.899927""}",3,2025-09-03 19:49:18,False,,,Participant,c4b101546ce91f57b36dbb19fd66cd80,prolific,68b89b87f07994510993fa4d,5eed1bae9e63ac127ac15a77:68b89b87f07994510993fa4d,68b896a73aaef02d84094293,live,2025-09-03 19:57:06,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",d3d386a4-ba4c-3333-90e6-41ab31c39390,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,61,high_school,0.0
"{""main_consent"": true, ""age"": ""40"", ""formal_education"": ""college"", ""z"": 1, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T19:55:03.930465"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T19:51:38.326340"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T19:55:02.404294""}",4,2025-09-03 19:50:11,False,,,Participant,1bfdd475ab5a53b0bf5ddc4d6bdc264d,prolific,68b89b8026c7eae8e85fbe72,616c056b42e788ef31efc4b0:68b89b8026c7eae8e85fbe72,68b896a73aaef02d84094293,live,2025-09-03 19:55:06,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",3998688e-f58e-b6ef-2602-8031e60e36df,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,40,college,1.0
"{""main_consent"": true, ""age"": ""31"", ""formal_education"": ""high_school"", ""z"": 0, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T19:58:47.402530"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T19:50:40.131690"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T19:58:46.305426""}",5,2025-09-03 19:50:17,False,,,Participant,86285a363105cb900de2ce4c219a4209,prolific,68b89bd17378664f8b5f4fa9,5b8d575aafe6be000115695b:68b89bd17378664f8b5f4fa9,68b896a73aaef02d84094293,live,2025-09-03 19:58:50,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",6c2cacd7-efd7-4cfe-e9ed-ddd3efaca0a0,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,31,high_school,0.0
"{""main_consent"": true, ""age"": ""45"", ""formal_education"": ""high_school"", ""z"": 0, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T20:02:17.766404"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T19:55:44.783076"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T20:02:15.748365""}",6,2025-09-03 19:55:16,False,,,Participant,b294cb6d0858c27d9e46576214685e30,prolific,68b89cf52a6c02023a06fb89,65fb580ab7fbb2d518ee8eaa:68b89cf52a6c02023a06fb89,68b896a73aaef02d84094293,live,2025-09-03 20:02:21,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",ec9145ec-6dc9-0380-1278-73e6e4111e49,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,45,high_school,0.0
"{""main_consent"": true, ""age"": ""31"", ""formal_education"": ""high_school"", ""z"": 0, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T20:11:09.899369"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T20:07:21.454866"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T20:11:08.312242""}",7,2025-09-03 20:07:00,False,,,Participant,5865fdab0bf263c73cd13cbcb83bd91f,prolific,68b89fd3852fea035c9afca6,5685850c333cbd000d4e042f:68b89fd3852fea035c9afca6,68b896a73aaef02d84094293,live,2025-09-03 20:11:12,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",6f02c938-94ee-21fc-3239-895b7c596c5c,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,31,high_school,0.0
"{""main_consent"": true, ""age"": ""45"", ""formal_education"": ""postgraduate_degree_or_higher"", ""z"": 1, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T20:13:24.725553"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T20:07:36.319471"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T20:13:23.334344""}",8,2025-09-03 20:07:08,False,,,Participant,d22755956e245cdc5d9017ea9750b853,prolific,68b89f7797e846151b608177,66f2b62e0ed36bbf5a254874:68b89f7797e846151b608177,68b896a73aaef02d84094293,live,2025-09-03 20:13:29,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",ea860b01-2370-49c6-5abd-a1e5b31545e1,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 138.0.0.0 on OS X 10.15.7 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,45,postgraduate_degree_or_higher,1.0
"{""main_consent"": true, ""age"": ""46"", ""formal_education"": ""high_school"", ""z"": 0, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T20:16:11.715654"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T20:07:59.778021"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T20:16:08.886743""}",9,2025-09-03 20:07:37,False,,,Participant,4c7f24b7534189c41cac6da8adeae772,prolific,68b89f5ae3621ab8ca51c31c,60a2a8570a0f9cc00d6b9d1a:68b89f5ae3621ab8ca51c31c,68b896a73aaef02d84094293,live,2025-09-03 20:16:15,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",c2ff5120-8a8f-2ffd-24f0-0e142f7383c7,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 140.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,46,high_school,0.0
"{""main_consent"": true, ""age"": ""35"", ""formal_education"": ""high_school"", ""z"": 0, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2025-09-03T20:15:24.012165"", ""__optimal_treatment__trial_loop__loop_start_time__loop_start_time"": ""2025-09-03T20:09:58.500702"", ""__wait_while__loop_start_time__loop_start_time"": ""2025-09-03T20:15:22.621355""}",10,2025-09-03 20:09:32,False,,,Participant,a22468761af8f98059088f80834550cc,prolific,68b8a06d6bb8bd5c414763ee,66686316b5076c050a4f32d0:68b8a06d6bb8bd5c414763ee,68b896a73aaef02d84094293,live,2025-09-03 20:15:26,1.65,,"{""recruiter"": ""prolific""}",approved,"[178, 4, 1]","[182, 5, 2]",805.0,805.0,1.0,[],"[1.0, 1.0]",a7df9db9-5b64-a5a7-b622-e4e6b6692abd,False,True,Finish,[],[],"[[""main_consent_conditional"", false], [""init_participant"", false]]",{},[],1.65,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""main_consent"", ""optimal_treatment""]","[""main_consent"", ""optimal_treatment""]",,True,35,high_school,0.0
